iter	Passed	Remaining
958	2731	116
959	2733	113
960	2738	111
961	2740	108
962	2742	105
963	2744	102
964	2747	99
965	2748	96
966	2753	93
967	2755	91
968	2758	88
969	2760	85
970	2762	82
971	2764	79
972	2769	76
973	2771	73
974	2773	71
975	2775	68
976	2778	65
977	2780	62
978	2788	59
979	2790	56
980	2792	54
981	2794	51
982	2797	48
983	2802	45
984	2804	42
985	2806	39
986	2808	36
987	2810	34
988	2812	31
989	2817	28
990	2819	25
991	2822	22
992	2824	19
993	2826	17
994	2828	14
995	2831	11
996	2833	8
997	2835	5
998	2837	2
999	2847	0
